,0,1,2,3,4,5
0,10.0,20.0,16.0,13.0,16.0,15.0
1,2.0,12.0,18.0,23.0,18.0,17.0
2,10.0,18.0,17.0,11.0,19.0,15.0
3,18.0,16.0,12.0,13.0,16.0,15.0
4,15.0,12.0,18.0,15.0,14.0,16.0
5,0.0,17.0,14.0,20.0,20.0,19.0
6,0.0,14.0,17.0,21.0,19.0,19.0
7,4.0,16.0,17.0,17.0,16.0,20.0
8,1.0,18.0,22.0,15.0,12.0,22.0
9,9.0,13.0,12.0,22.0,14.0,20.0
10,14.0,9.0,17.0,11.0,14.0,25.0
11,5.0,18.0,17.0,12.0,13.0,25.0
12,6.0,16.0,19.0,15.0,17.0,17.0
13,17.0,12.0,13.0,20.0,13.0,15.0
14,10.0,16.0,17.0,14.0,20.0,13.0
15,10.0,10.0,11.0,26.0,16.0,17.0
16,0.0,14.0,21.0,20.0,16.0,19.0
17,0.0,10.0,21.0,19.0,24.0,16.0
18,13.0,18.0,9.0,14.0,18.0,18.0
19,2.0,15.0,18.0,25.0,15.0,15.0
